capture,ue_ip,direction,window_index,window_s,throughput_mbps,lf_raw,lf_used
250826_1030_1130.pcap,10.1.17.210,DL,186,5,1.434304,0.00156926,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,187,5,19.152784,0.02095491,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,188,5,1.677192,0.00183500,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,189,5,2.857894,0.00312680,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,190,5,0.009634,0.00001054,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,191,5,0.000456,0.00000050,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,193,5,0.009178,0.00001004,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,194,5,0.000456,0.00000050,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,197,5,0.021978,0.00002405,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,198,5,0.000373,0.00000041,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,199,5,0.000784,0.00000086,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,202,5,0.122034,0.00013352,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,203,5,17.239083,0.01886114,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,204,5,0.924474,0.00101146,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,205,5,2.999574,0.00328181,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,206,5,2.051562,0.00224460,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,207,5,1.382494,0.00151258,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,208,5,0.655309,0.00071697,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,209,5,3.806699,0.00416488,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,210,5,2.332398,0.00255186,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,211,5,0.327515,0.00035833,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,213,5,0.017128,0.00001874,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,214,5,0.000456,0.00000050,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,215,5,0.000867,0.00000095,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,218,5,0.002555,0.00000280,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,219,5,0.011662,0.00001276,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,220,5,0.009176,0.00001004,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,221,5,0.000456,0.00000050,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,223,5,0.086267,0.00009438,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,224,5,14.726798,0.01611247,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,225,5,0.456888,0.00049988,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,226,5,2.103579,0.00230151,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,227,5,3.540866,0.00387403,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,228,5,0.825536,0.00090321,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,229,5,0.693059,0.00075827,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,230,5,0.795749,0.00087062,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,231,5,1.551498,0.00169748,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,232,5,0.475739,0.00052050,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,233,5,1.700547,0.00186055,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,234,5,0.491037,0.00053724,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,235,5,0.311222,0.00034051,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,236,5,0.000701,0.00000077,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,239,5,0.000216,0.00000024,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,241,5,0.014931,0.00001634,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,242,5,0.009918,0.00001085,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,243,5,0.000912,0.00000100,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,245,5,8.591080,0.00939943,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,246,5,11.147915,0.01219684,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,247,5,15.079474,0.01649833,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,248,5,5.771730,0.00631480,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,249,5,1.651138,0.00180650,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,250,5,1.228877,0.00134450,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,251,5,0.023854,0.00002610,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,252,5,0.000456,0.00000050,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,253,5,0.009178,0.00001004,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,254,5,0.000456,0.00000050,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,258,5,0.017136,0.00001875,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,259,5,0.001240,0.00000136,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,260,5,0.000373,0.00000041,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,262,5,0.165798,0.00018140,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,263,5,8.513482,0.00931453,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,264,5,9.745539,0.01066252,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,265,5,1.649037,0.00180420,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,266,5,1.339677,0.00146573,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,267,5,2.121178,0.00232076,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,268,5,2.187584,0.00239342,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,269,5,1.353261,0.00148059,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,270,5,2.427210,0.00265559,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,271,5,2.332819,0.00255232,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,272,5,0.326034,0.00035671,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,274,5,0.017128,0.00001874,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,275,5,0.001157,0.00000127,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,279,5,0.000216,0.00000024,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,281,5,0.014939,0.00001634,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,282,5,0.000373,0.00000041,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,284,5,3.082331,0.00337235,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,285,5,12.180051,0.01332610,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,286,5,2.102773,0.00230063,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,287,5,1.972554,0.00215815,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,288,5,1.571955,0.00171986,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,289,5,1.517269,0.00166003,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,290,5,0.256342,0.00028046,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,291,5,0.802310,0.00087780,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,292,5,0.758685,0.00083007,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,293,5,2.176658,0.00238146,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,294,5,0.827722,0.00090560,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,295,5,0.342554,0.00037479,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,296,5,0.000890,0.00000097,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,297,5,0.000350,0.00000038,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,300,5,0.000216,0.00000024,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,302,5,0.009179,0.00001004,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,303,5,0.018518,0.00002026,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,304,5,0.000912,0.00000100,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,308,5,0.000814,0.00000089,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,309,5,0.000083,0.00000009,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,315,5,0.000434,0.00000047,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,317,5,0.062632,0.00006853,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,318,5,0.016312,0.00001785,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,327,5,0.000096,0.00000011,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,330,5,2.380912,0.00260494,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,331,5,1.571579,0.00171945,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,332,5,0.006688,0.00000732,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,333,5,1.063675,0.00116376,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,334,5,0.335544,0.00036712,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,344,5,0.000458,0.00000050,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,346,5,0.000451,0.00000049,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,347,5,0.000083,0.00000009,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,355,5,0.000205,0.00000022,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,356,5,0.000083,0.00000009,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,358,5,0.000288,0.00000032,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,365,5,0.000166,0.00000018,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,369,5,0.000456,0.00000050,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,377,5,0.015811,0.00001730,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,378,5,0.000312,0.00000034,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,379,5,0.001416,0.00000155,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,380,5,0.000283,0.00000031,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,381,5,0.001219,0.00000133,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,382,5,0.000312,0.00000034,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,385,5,0.000432,0.00000047,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,388,5,0.018331,0.00002006,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,391,5,2.337562,0.00255751,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,392,5,1.219442,0.00133418,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,393,5,0.000763,0.00000084,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,394,5,1.212656,0.00132676,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,395,5,0.000518,0.00000057,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,405,5,0.000458,0.00000050,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,407,5,0.000434,0.00000047,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,416,5,0.000288,0.00000032,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,418,5,0.000205,0.00000022,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,419,5,0.000122,0.00000013,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,420,5,0.000166,0.00000018,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,430,5,0.000456,0.00000050,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,439,5,0.000229,0.00000025,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,440,5,0.002149,0.00000235,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,442,5,0.001248,0.00000137,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,449,5,0.025093,0.00002745,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,452,5,0.000573,0.00000063,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,467,5,0.014640,0.00001602,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,473,5,0.000096,0.00000011,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,474,5,0.000624,0.00000068,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,476,5,4.212835,0.00460923,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,477,5,0.676602,0.00074026,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,479,5,3.243250,0.00354841,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,480,5,1.052762,0.00115182,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,501,5,0.000288,0.00000032,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,503,5,0.000205,0.00000022,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,504,5,0.001939,0.00000212,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,505,5,0.000832,0.00000091,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,507,5,1.092624,0.00119543,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,508,5,15.942997,0.01744310,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,509,5,4.154261,0.00454514,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,510,5,10.482653,0.01146899,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,511,5,6.420541,0.00702466,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,512,5,1.420133,0.00155376,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,513,5,2.795381,0.00305840,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,514,5,2.713794,0.00296914,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,515,5,1.324936,0.00144960,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,516,5,2.547174,0.00278684,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,517,5,2.798842,0.00306219,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,518,5,1.379830,0.00150966,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,519,5,0.629235,0.00068844,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,520,5,0.000987,0.00000108,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,521,5,0.046131,0.00005047,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,522,5,0.001467,0.00000161,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,523,5,0.025539,0.00002794,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,524,5,0.001451,0.00000159,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,525,5,0.000352,0.00000039,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,526,5,0.186458,0.00020400,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,527,5,2.215693,0.00242417,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,528,5,8.197952,0.00896931,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,529,5,2.334880,0.00255457,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,530,5,14.029350,0.01534940,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,531,5,3.982683,0.00435742,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,532,5,10.406760,0.01138595,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,533,5,2.494462,0.00272917,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,534,5,0.655682,0.00071738,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,535,5,2.841413,0.00310877,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,536,5,2.569730,0.00281152,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,537,5,1.322659,0.00144711,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,538,5,2.865282,0.00313488,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,539,5,2.823120,0.00308875,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,540,5,0.549134,0.00060080,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,541,5,0.145387,0.00015907,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,542,5,0.003541,0.00000387,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,543,5,0.000250,0.00000027,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,544,5,0.027517,0.00003011,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,545,5,0.000083,0.00000009,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,546,5,0.001750,0.00000192,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,547,5,0.183651,0.00020093,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,548,5,0.327974,0.00035883,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,549,5,10.565368,0.01155948,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,550,5,1.116096,0.00122111,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,551,5,10.728838,0.01173834,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,552,5,3.309550,0.00362095,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,553,5,8.578774,0.00938597,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,554,5,6.894573,0.00754330,0.30000
